"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"1","Red Blood Cell Count","million/µL","4.5","5.9","4.5–5.9","4.1","5.1","4.1–5.1","3.9","5.5","3.9–5.5",,"2026-07-09 13:18:03.609","2026-07-09 13:18:03.609",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2","Phosphorus, Serum","mg/dL","2.5","4.5","2.5–4.5","2.5","4.5","2.5–4.5","4","7","4.0–7.0","2.5–4.5","2026-07-09 13:18:03.860","2026-07-09 13:18:03.860",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3","1,25-Dihydroxyvitamin D","pg/mL","18","71","18–71","18","71","18–71","25","100","25–100",,"2026-07-09 13:18:04.046","2026-07-09 13:18:04.046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4","Cefoxitin","mm",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Sensitive / Resistant","2026-07-09 13:18:04.248","2026-07-09 13:18:04.248",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5","ANA Titer/Result","Titer",NULL,NULL,"Negative (< 1:40)",NULL,NULL,"Negative (< 1:40)",NULL,NULL,"Negative (< 1:40)","Negative (< 1:40)","2026-07-09 13:18:04.436","2026-07-09 13:18:04.436",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6","ANA Pattern","Text",NULL,NULL,"None",NULL,NULL,"None",NULL,NULL,"None","None","2026-07-09 13:18:04.614","2026-07-09 13:18:04.614",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7","HIV Antigen/Antibody Combination Assay","Index/Ratio",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:04.799","2026-07-09 13:18:04.799",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8","C-Reactive Protein (CRP)","mg/L","0","10","< 10.0","0","10","< 10.0","0","10","< 10.0","< 10.0","2026-07-09 13:18:04.976","2026-07-09 13:18:04.976",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","Free T3","pg/mL","2.3","4.2","2.3–4.2","2.3","4.2","2.3–4.2","2.5","5.2","2.5–5.2",,"2026-07-09 13:18:05.154","2026-07-09 13:18:05.154",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10","Hemoglobin","g/dL","13.5","17.5","13.5–17.5","12","15.5","12.0–15.5","11","16","11.0–16.0",NULL,"2026-07-09 13:18:05.339","2026-07-10 18:51:42.284",NULL,"HB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11","17-Hydroxyprogesterone","ng/mL","0.5","2.1","0.5–2.1","0.3","2.3","0.3–2.3","0.1","0.8","0.1–0.8",,"2026-07-09 13:18:05.527","2026-07-09 13:18:05.527",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12","24-Hour Urine Protein","mg/24h","0","150","0–150 mg/24h","0","150","0–150 mg/24h","0","150","0–150 mg/24h","0–150 mg/24h","2026-07-09 13:18:05.719","2026-07-09 13:18:05.719",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13","24-Hour Urine Volume","mL/24h","800","2000","800–2000 mL/24h","800","2000","800–2000 mL/24h","500","1500","500–1500 mL/24h","800–2000 mL/24h","2026-07-09 13:18:05.902","2026-07-09 13:18:05.902",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14","Urine Protein/Creatinine Ratio (24h)","mg/mg","0","0.15","< 0.15","0","0.15","< 0.15","0","0.2","< 0.2","< 0.15","2026-07-09 13:18:06.082","2026-07-09 13:18:06.082",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"15","24-Hour Urine Creatinine","mg/24h","1000","2500","1000 - 2500","700","1800","700 - 1800","200","1000","200 - 1000",,"2026-07-09 13:18:06.266","2026-07-09 13:18:06.266",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16","Angiotensin Converting Enzyme (ACE)","U/L","9","67","9.0–67.0","9","67","9.0–67.0","20","150","20.0–150.0",,"2026-07-09 13:18:06.447","2026-07-09 13:18:06.447",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17","Acid-Fast Bacilli (AFB) for Body Fluid","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:06.643","2026-07-09 13:18:06.643",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","Albumin/Globulin Ratio","Ratio","1.1","2.5","1.1–2.5","1.1","2.5","1.1–2.5","1.1","2.5","1.1–2.5","1.1–2.5","2026-07-09 13:18:06.833","2026-07-09 18:05:51.444",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","pH","ratio","7.35","7.45","7.35–7.45","7.35","7.45","7.35–7.45","7.35","7.45","7.35–7.45",,"2026-07-09 13:18:07.015","2026-07-09 13:18:07.015",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20","Partial Pressure of Oxygen (pO2)","mmHg","75","100","75–100","75","100","75–100","60","90","60–90",,"2026-07-09 13:18:07.202","2026-07-09 13:18:07.202",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"21","Partial Pressure of Carbon Dioxide (pCO2)","mmHg","35","45","35–45","35","45","35–45","35","45","35–45",,"2026-07-09 13:18:07.384","2026-07-09 13:18:07.384",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","Bicarbonate (HCO3)","mEq/L","22","28","22–28","22","28","22–28","22","28","22–28",,"2026-07-09 13:18:07.564","2026-07-09 13:18:07.564",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23","Oxygen Saturation (SaO2)","%","94","100","94–100","94","100","94–100","94","100","94–100",,"2026-07-09 13:18:07.752","2026-07-09 13:18:07.752",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24","Absolute Basophil Count","X 10³/ μL","0.02","0.1","0.02 - 0.1","0.02","0.1","0.02 - 0.1","0.02","0.1","0.02 - 0.1","0.02 - 0.1","2026-07-09 13:18:07.934","2026-07-09 20:24:15.088",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25","Absolute Eosinophil Count","X 10³/ μL","0.02","0.5","0.02-0.5","0.02","0.5","0.02-0.5","0.02","0.5","0.02-0.5","0.02-0.5","2026-07-09 13:18:08.120","2026-07-09 20:24:15.079",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26","Absolute Lymphocytes Count","X 10³/ μL","1","3","1.0-3.0","1","3","1.0-3.0","3","8","3.0-8.0","1.0-3.0","2026-07-09 13:18:08.297","2026-07-09 20:24:15.058",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"27","Absolute Neutrophil Count","X 10³/ μL","2","7","2.0–7.0","2","7","2.0–7.0","2","7","2.0–7.0","2.0–7.0","2026-07-09 13:18:08.485","2026-07-09 20:24:15.040",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28","Absolute White Blood Cell Count","X 10³/ μL","4","11","4.0–11.0","4","11","4.0–11.0","6","17.5","6.0–17.5",NULL,"2026-07-09 13:18:08.668","2026-07-09 20:09:07.079",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29","Prostatic Acid Phosphatase","ng/mL","0","3","0.0 - 3.0","0","0.8","0.0 - 0.8","0","0.8","0.0 - 0.8",,"2026-07-09 13:18:08.852","2026-07-09 13:18:08.852",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30","Adenosine Deaminase (ADA)","U/L","0","40","< 40","0","40","< 40","0","40","< 40","< 40 U/L","2026-07-09 13:18:09.031","2026-07-09 13:18:09.031",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31","Adrenocorticotropic Hormone (ACTH)","pg/mL","7","63","7.0–63.0","7","63","7.0–63.0","7","63","7.0–63.0",,"2026-07-09 13:18:09.214","2026-07-09 13:18:09.214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32","AFB Ziehl-Neelsen Stain, Urine","Interpretation",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:09.405","2026-07-09 13:18:09.405",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33","Albumin","g/dL","3.4","5.4","3.4–5.4","3.4","5.4","3.4–5.4","2.9","5.5","2.9–5.5",NULL,"2026-07-09 13:18:09.595","2026-07-09 18:05:51.428",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34","Aldehyde Test","Qualitative",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:09.779","2026-07-09 13:18:09.779",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35","Alkaline Phosphatase","U/L","44","147","44-147","44","147","44-147","150","420","150-420",NULL,"2026-07-09 13:18:09.991","2026-07-09 18:05:51.406",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36","Total IgE","kU/L","0","100","0 - 100","0","100","0 - 100","0","100","0 - 100","0 - 100 kU/L","2026-07-09 13:18:10.169","2026-07-09 13:18:10.169",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37","Food Allergy Profile","kU/L","0","0.35","< 0.35","0","0.35","< 0.35","0","0.35","< 0.35","< 0.35 kU/L","2026-07-09 13:18:10.372","2026-07-09 13:18:10.372",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38","Total IgE (Inhalation Profile)","IU/mL","0","100","0-100 IU/mL","0","100","0-100 IU/mL","0","100","0-100 IU/mL","0-100 IU/mL","2026-07-09 13:18:10.649","2026-07-09 13:18:10.649",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"39","Specific IgE Class","Class","0","6","Class 0: <0.35 kU/L (Negative)","0","6","Class 0: <0.35 kU/L (Negative)","0","6","Class 0: <0.35 kU/L (Negative)","Class 0 (<0.35 kU/L)","2026-07-09 13:18:10.939","2026-07-09 13:18:10.939",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40","Ammonia","µmol/L","11","32","11–32","11","32","11–32","21","50","21–50",,"2026-07-09 13:18:11.152","2026-07-09 13:18:11.152",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"41","Entamoeba Histolytica IgG Antibody","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:11.352","2026-07-09 13:18:11.352",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"42","Anti-Nuclear Antibody (ANA) - ELISA","Index / Ratio",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:11.805","2026-07-09 13:18:11.805",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"43","ANCA Screen (Immunofluorescence)","Titer",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:12.035","2026-07-09 13:18:12.035",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44","Anti-PR3 (c-ANCA)","U/mL","0","3.5","< 3.5 U/mL","0","3.5","< 3.5 U/mL","0","3.5","< 3.5 U/mL","< 3.5 U/mL","2026-07-09 13:18:12.212","2026-07-09 13:18:12.212",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"45","Anti-MPO (p-ANCA)","U/mL","0","3.5","< 3.5 U/mL","0","3.5","< 3.5 U/mL","0","3.5","< 3.5 U/mL","< 3.5 U/mL","2026-07-09 13:18:12.422","2026-07-09 13:18:12.422",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"46","Serum Ferritin","ng/mL","20","250","20–250","10","120","10–120","7","140","7–140",,"2026-07-09 13:18:12.612","2026-07-09 13:18:12.612",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47","Serum Iron","µg/dL","65","175","65–175","50","170","50–170","40","100","40–100",,"2026-07-09 13:18:12.800","2026-07-09 13:18:12.800",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"48","Total Iron Binding Capacity (TIBC)","µg/dL","250","450","250–450","250","450","250–450","250","450","250–450",,"2026-07-09 13:18:13.239","2026-07-09 13:18:13.239",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50","Anti-Cardiolipin Antibodies (IgA)","MPL-U/mL",NULL,NULL,"Negative: < 12 MPL-U/mL; Low Positive: 12 - 20 MPL-U/mL; Moderate/High Positive: > 20 MPL-U/mL",NULL,NULL,"Negative: < 12 MPL-U/mL; Low Positive: 12 - 20 MPL-U/mL; Moderate/High Positive: > 20 MPL-U/mL",NULL,NULL,"Negative: < 12 MPL-U/mL","Negative: < 12 MPL-U/mL","2026-07-09 13:18:14.031","2026-07-09 13:18:14.031",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51","Anti-Cardiolipin Antibody (IgG)","GPL U/mL",NULL,NULL,"Negative: < 10 GPL U/mL; Low Positive: 10–40 GPL U/mL; Moderate to High Positive: > 40 GPL U/mL",NULL,NULL,"Negative: < 10 GPL U/mL; Low Positive: 10–40 GPL U/mL; Moderate to High Positive: > 40 GPL U/mL",NULL,NULL,"Negative: < 10 GPL U/mL","Negative: < 10 GPL U/mL","2026-07-09 13:18:14.216","2026-07-09 13:18:14.216",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
